Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
walmartstores,0xe140cc04b47472320a29c355e63dd6718b85d222,13,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15515952488080265522148493610212405359410348714381444963611311863057928518461,2017-05-18 16:05:11,2022-03-30 20:03:25,2029-03-30 12:47:49,2029-06-28 12:47:49,2029-07-19 12:47:49
generalmotors,0x9464ad2b6cb0be22866f173efb4c375c149e93fe,13,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/67156344321143993921750895394443946082485060389269753280373765077446321462491,2017-06-10 20:23:42,2020-08-29 14:21:36,2025-08-29 19:27:36,2025-11-27 19:27:36,2025-12-18 19:27:36
generalelectric,0x139d7eb62e45e61abf2b7642d2a419d3ac50e61d,15,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/4677437546286400372118774490738431557160219844916885538589081254206258778300,2017-05-11 14:26:34,2020-09-04 14:59:49,2023-09-05 08:27:25,2023-12-04 08:27:25,2023-12-25 08:27:25
chevrontexaco,0xf62fc5cf5fb221f1d5f855ae8fef03c0e8d25971,13,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/7673135532024083957054056253090546256138731644240474088246164154551234634479,2020-02-05 01:22:05,2022-05-05 00:42:00,2023-05-05 06:31:12,2023-08-03 06:31:12,2023-08-24 06:31:12
philipmorris,0xd9568b97ddc98c2bb55261b88240de698b9f974c,12,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16154957633870131569647853583015734797368256801449971486698602306657221551920,2017-05-18 01:04:46,2021-08-23 10:35:13,2025-08-23 09:52:01,2025-11-21 09:52:01,2025-12-12 09:52:01
americaninternationalgroup,0x5fe1ce4e8bd1484fe2ec2892a717bf17372632ea,26,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/34257707219916458092383203196274267710149654201819116693320998597072949581239,2017-05-26 08:03:39,2020-02-06 16:46:44,2023-02-27 19:00:00,2023-05-28 19:00:00,2023-06-18 19:00:00
americanelectricpower,0x4c6b83ca1c59781fab57790a46281bbd93e539fe,21,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/78194435257141754918724214361117004262744343144378930193974708346792359373029,2017-06-24 13:06:33,2022-03-16 15:56:40,2027-03-16 21:02:40,2027-06-14 21:02:40,2027-07-05 21:02:40
boeing,0x9464ad2b6cb0be22866f173efb4c375c149e93fe,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/113269520983988700176285524982336881767333158565327950485641710849450680804170,2019-10-19 16:24:50,2020-02-06 00:48:26,2025-10-18 21:30:50,2026-01-16 21:30:50,2026-02-06 21:30:50
elpaso,0xd424df923ddf58397da5e5fdd267cb62eb0d4f42,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/3660040084008769522919609243652171100623715170976583750641197256406861311834,2019-09-29 03:49:26,2020-02-07 12:44:37,2026-09-28 14:44:38,2026-12-27 14:44:38,2027-01-17 14:44:38
homedepot,0x6488ea4a5177adc1b150bb7c13944ed3ab6a85a6,9,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/20674252944696835307439457873576429024665433187522560146270508621727633430372,2017-05-19 08:58:14,2020-02-05 16:08:29,2026-06-16 10:30:57,2026-09-14 10:30:57,2026-10-05 10:30:57
jpmorganchaseco,0x4dbfa174420a7220106d9a3d278d0717b610d0cc,15,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/73944611953610444987734071669107468492628752899204633856487311811132336520247,2017-06-18 17:52:48,2022-01-12 04:51:38,2024-01-12 16:30:02,2024-04-11 16:30:02,2024-05-02 16:30:02
cardinalhealth,0x5275b9068d54c5590fbb61d8e959931b813084a5,14,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/34399456784299080323034486050452972986634721364016796678039892069506613529035,2017-05-25 22:46:20,2021-02-17 22:46:01,2024-02-18 16:13:37,2024-05-18 16:13:37,2024-06-08 16:13:37
merck,0x9464ad2b6cb0be22866f173efb4c375c149e93fe,5,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111578592843375361647737289346020223804337947272817285277556738122283583877392,2019-10-19 14:04:50,2020-02-04 16:15:34,2025-10-18 19:10:50,2026-01-16 19:10:50,2026-02-06 19:10:50
statefarminsurancecos,,21,Never Registered,,https://app.ens.domains/name/statefarminsurancecos.eth/register,,,,,
hewlettpackard,0x33dd6632ed8a08ae8c6b931edfcba8866478cc37,14,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/41671656273717624321016482670233027008834579131296810985651233798962324034732,2017-05-30 12:15:31,2020-09-25 10:47:36,2026-09-25 21:42:48,2026-12-24 21:42:48,2027-01-14 21:42:48
mckesson,0x621bccf4a480ffe164491cc1620fadeb60e5da76,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/12610364942308925852996643753114810059467994140076331029960618473069672176468,2017-05-15 18:48:18,2020-02-05 15:04:12,2022-06-16 13:46:52,2022-09-14 13:46:52,2022-10-05 13:46:52
merrilllynch,0xccd663c884ed449c2fa469f388db14be19a37738,12,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/53254623860046105787897703097065793005337503814320387532160968214926365201864,2017-06-04 15:42:46,2020-08-30 05:10:34,2031-08-30 21:11:46,2031-11-28 21:11:46,2031-12-19 21:11:46
albertsons,0x5275b9068d54c5590fbb61d8e959931b813084a5,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/5628066489340844914763782521834926981697789646632965007156578050759318256227,2017-05-12 18:53:13,2020-08-29 11:34:16,2024-08-29 10:51:04,2024-11-27 10:51:04,2024-12-18 10:51:04
freddiemac,0xf14955b6f701a4bfd422dcc324cf1f4b5a466265,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/110050807415587884416408581486070950865690035807893678562206254181339781856260,2017-07-03 11:14:30,2020-02-05 00:08:22,2024-05-03 19:16:48,2024-08-01 19:16:48,2024-08-22 19:16:48
johnsonjohnson,0xd668f0fa22353807ab81cc7264affcebb2919820,14,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29302894399645326277768501045245176346715959522427433285294486253426900194118,2017-05-25 08:47:38,2021-09-06 15:30:49,2029-09-06 14:04:25,2029-12-05 14:04:25,2029-12-26 14:04:25
conoco,0x516f381d6c94110cde63f3266b779065525096f7,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/10001696794559519459936706548608480092505802869483931846591950477807217458751,2020-08-04 09:55:52,2020-08-04 09:55:52,2022-08-04 21:34:16,2022-11-02 21:34:16,2022-11-23 21:34:16
pfizer,0xf7fed7bdc5b6abb2439aa22dafd00d54fd9509fc,6,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/51652572755148706630307636898534252691189806559205851515785027522012467022570,2019-10-16 00:18:43,2020-02-07 01:49:58,2040-10-14 20:42:43,2041-01-12 20:42:43,2041-02-02 20:42:43
jcpenney,0xf14955b6f701a4bfd422dcc324cf1f4b5a466265,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/81607145664930743779122210818149106247318504778116015352147070825641793362996,2017-06-18 05:57:31,2020-02-07 14:37:34,2024-05-03 19:16:48,2024-08-01 19:16:48,2024-08-22 19:16:48
metlife,0x3182c1c22e7d083c2073a64a71e7ae6b3b4d2e1a,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32789654702199527217802074857662012793331856486287788617877218269385397469071,2017-05-25 03:39:12,2020-02-03 18:58:11,2046-05-04 03:19:12,2046-08-02 03:19:12,2046-08-23 03:19:12
goldmansachsgroup,0xf14955b6f701a4bfd422dcc324cf1f4b5a466265,17,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/57692234627292034047744353858500431142084664448831583067885710093188804113479,2017-06-07 06:25:45,2020-02-04 20:37:18,2024-05-03 19:16:48,2024-08-01 19:16:48,2024-08-22 19:16:48
motorola,0xc3baa0fa5f21af0157548bebf57028516fca7a71,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/106202769169965699143095764417951297713372851366299993952174260859748152899246,2017-06-30 13:48:48,2020-08-29 17:43:35,2041-08-29 19:56:47,2041-11-27 19:56:47,2041-12-18 19:56:47
allstate,0x54e80390434b8bfcabc823e9656c57d018c1dc77,8,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/88438723522793833562089603040852116823273133706818518640854473232004654853121,2017-06-22 05:36:12,2020-02-05 23:32:08,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
txu,0x041c36713d3142b520aed45cbd3ffc5b91311eef,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/12166800759245001191022894559543129879104966883401341950892987762384525087424,2022-05-02 16:28:54,2022-05-02 16:28:54,2022-05-30 16:33:25,2022-08-28 16:33:25,2022-09-18 16:33:25
unitedtechnologies,0xd67d9e817aa9a1e4d00568e9445a9e6d0dd18c8b,18,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/24665843457725960205243487966660909651785044976702805093854904770256922727113,2017-05-22 11:28:12,2020-10-06 19:39:18,2022-10-07 07:17:42,2023-01-05 07:17:42,2023-01-26 07:17:42
dowchemical,0x5807a8b404c71cf22eb0bac2e5f2a6c202ebe0a1,11,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/59182828253720705504863347928410900201266824743258509162629202177591839446983,2017-06-08 00:54:55,2020-02-07 16:09:48,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
conagra,0x5807a8b404c71cf22eb0bac2e5f2a6c202ebe0a1,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/57849310580819017662085826159935391106753470473403389008737127959659029986824,2017-06-06 18:55:33,2020-02-06 14:19:29,2023-05-04 13:27:36,2023-08-02 13:27:36,2023-08-23 13:27:36
pepsico,0xc735b2dd5f5600c13cf94f1da32471f8f214c704,7,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/72195051924988299809587779357053658640488567046121223443669438704721323772225,2017-06-14 05:59:18,2020-08-29 00:05:05,2022-08-29 11:43:29,2022-11-27 11:43:29,2022-12-18 11:43:29
wellsfargo,0x5807a8b404c71cf22eb0bac2e5f2a6c202ebe0a1,10,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/61742934166608390969387711773431759676753654942644134372039482369998879988078,2017-06-08 21:44:24,2020-02-03 17:35:39,2024-05-03 19:16:48,2024-08-01 19:16:48,2024-08-22 19:16:48
